Nama,URL,Alamat,Kode Pos,Telepon,Fax,Email
Program Studi Magister Perencanaan Wilayah dan Kota,https://www.itb.ac.id/directories/view/program-studi-magister-perencanaan-wilayah-dan-kota-ssz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509171,","+62-22-2501263,",s2-pwk@sappk.itb.ac.id
Pusat Pemberdayaan Perdesaan,https://www.itb.ac.id/directories/view/pusat-pemberdayaan-perdesaan-vu,"Labtek 1 Lantai 1 (Gedung Mekanika Tanah) Jl. Ganesha 10 , Coblong","Bandung, 40135",",",",",endrasusila@gmail.com
Program Studi Magister Rancang Kota,https://www.itb.ac.id/directories/view/program-studi-magister-rancang-kota-stt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504962,","+62-22-2530705,",rancangkota@sappk.itb.ac.id
Pusat Pemodelan Matematika dan Simulasi,https://www.itb.ac.id/directories/view/pusat-pemodelan-matematika-dan-simulasi-ty,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508126,","+62-22-2508126,",p2ms_itb@yahoo.com
Program Studi Magister Rekayasa Pertambangan,https://www.itb.ac.id/directories/view/program-studi-magister-rekayasa-pertambangan-svt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502239, +62-22-2508131","+62-22-2504209,",dep-ta@mining.itb.ac.id
Pusat Pendayagunaan Open Source Software,https://www.itb.ac.id/directories/view/pusat-pendayagunaan-open-source-software-uy,"Jl Ganesa No 10,","Bandung, 40132","+62-22-7082-POS,","+62-22-2501859,",layanan@poss.itb.ac.id; mursito@tf.itb.ac.id;
Program Studi Magister Sains Kebumian,https://www.itb.ac.id/directories/view/program-studi-magister-sains-kebumian-rss,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500494,","+62-22-2534139,",prodime@meteo.itb.ac.id
Pusat Penelitian Biosains dan Bioteknologi,https://www.itb.ac.id/directories/view/pusat-penelitian-biosains-dan-bioteknologi-tt,"Jalan Tamansari 126,","Bandung, 40132","+62-222534115, +62-22-2534116","+62-222534115,",admin@biotech.itb.ac.id
Program Studi Magister Sains Komputasi,https://www.itb.ac.id/directories/view/program-studi-magister-sains-komputasi-rzq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2515032,","+62-22-2502360,",admin@fmipa.itb.ac.id
Pusat Penelitian Energi Baru dan Terbarukan,https://www.itb.ac.id/directories/view/pusat-penelitian-energi-baru-dan-terbarukan-tr,"Jalan Tamansari 126,","Bandung, 40132",",",",",priyonosutikno@gmail.com
Program Studi Magister Sains Manajemen,https://www.itb.ac.id/directories/view/program-studi-magister-sains-manajemen-rut,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2531923,","+62-22-2504249,",info-sbm.itb.ac.id
Pusat Penelitian Infrastruktur dan Kewilayahan,https://www.itb.ac.id/directories/view/pusat-penelitian-infrastruktur-dan-kewilayahan-tu,"Jalan Tamansari no 126,","Bandung, 40132","+62-22-2509171,","+62-22-2501263,",pp-plwi@itb.ac.id
Program Studi Magister Sains Manajemen,https://www.itb.ac.id/directories/view/program-studi-magister-sains-manajemen-tsy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2531923,","+62-22-2504249,",info@sbm-itb.ac.id
Pusat Penelitian Mitigasi Bencana,https://www.itb.ac.id/directories/view/pusat-penelitian-mitigasi-bencana-tx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504987, +62-22-2504256",",",kppmb@lppm.itb.ac.id
Program Studi Magister Seni Rupa,https://www.itb.ac.id/directories/view/program-studi-magister-seni-rupa-tqv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2534104,","+62-22-2534242,",
Pusat Penelitian Nanosains dan Nanoteknologi,https://www.itb.ac.id/directories/view/pusat-penelitian-nanosains-dan-nanoteknologi-tuy,"Jalan Ganesha 10,","Bandung, 40132",",",",",nrcn@cphys.fi.itb.ac.id
Program Studi Magister Sistem dan Teknik Jalan Raya,https://www.itb.ac.id/directories/view/program-studi-magister-sistem-dan-teknik-jalan-raya-yv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2534167,","+62-22-2534167,",stjr@trans.si.itb.ac.id
Pusat Penelitian Produk Budaya dan Lingkungan,https://www.itb.ac.id/directories/view/pusat-penelitian-produk-budaya-dan-lingkungan-tv,"Jalan Tamansari no 126,","Bandung, 40132",",",",",
Program Studi Magister Studi Pembangunan,https://www.itb.ac.id/directories/view/program-studi-magister-studi-pembangunan-str,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2511828, +62-22-2534237","+62-22-2511828 ,",spitb@sp.itb.ac.id
Pusat Penelitian Teknologi Informasi dan Komunikasi,https://www.itb.ac.id/directories/view/pusat-penelitian-teknologi-informasi-dan-komunikasi-ts,"Jalan Tamansari 126,","Bandung, 40132","+62-22-4254034,","+62-22-2508763,",
Program Studi Magister Studi Pertahanan,https://www.itb.ac.id/directories/view/program-studi-magister-studi-pertahanan-stu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2511828 ,","+62-22-2511828 ,",dekan@sappk.itb.ac.id
Pusat Pengembangan Sumber Daya Air,https://www.itb.ac.id/directories/view/pusat-pengembangan-sumber-daya-air-vs,",",",",",",",",
Program Studi Magister Teknik Air Tanah,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-air-tanah-rsw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2514990,","+62-22-2514837,",airtanah@fitb.itb.ac.id
Pusat Pengembangan Teknologi Transportasi Berkelanjutan,https://www.itb.ac.id/directories/view/pusat-pengembangan-teknologi-transportasi-berkelanjutan-ttv,"Jalan Ganesha 10,","Bandung, 40132",",",",",sigitps@gmail.com
Program Studi Magister Teknik dan Manajemen Industri,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-dan-manajemen-industri-srx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504189,","+62-22-2509164,",tmi@ti.itb.ac.id
Pusat Pengembangan Wilayah Pesisir dan Laut,https://www.itb.ac.id/directories/view/pusat-pengembangan-wilayah-pesisir-dan-laut-us,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2512430,",",",ppk@ppk.itb.ac.id; mfarid@ftsl.itb.ac.id
Program Studi Magister Teknik Elektro,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-elektro-swv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502260, +62-22-4254028","+62-22-2534222,",info@stei.itb.ac.id
Pusat Penginderaan Jauh,https://www.itb.ac.id/directories/view/pusat-penginderaan-jauh-uu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2530701,","+62-22-2530701,",office@crs.itb.ac.id
Program Studi Magister Teknik Fisika,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-fisika-srt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504424,","+62-22-2506281,",kaprodis2s3tf@tf.itb.ac.id
Pusat Pengkajian Logistik dan Sistem Rantai Pasok,https://www.itb.ac.id/directories/view/pusat-pengkajian-logistik-dan-sistem-rantai-pasok-vr,"Jalan Tamansari 126,","Bandung, 40132","+62-22-2510680,","+62-22-2510680,",senator@mail.ti.itb.ac.id; logistics_studies_itb@yahoo.com
Program Studi Magister Teknik Geodesi dan Geomatika,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-geodesi-dan-geomatika-rsv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2530701,","+62-22-2530702,",graduate@gd.itb.ac.id
Pusat Perencanaan dan Pengembangan Kepariwisataan,https://www.itb.ac.id/directories/view/pusat-perencanaan-dan-pengembangan-kepariwisataan-uq,"Jalan Tamansari 126,","Bandung, 40132","+62-22-2506285,","+62-22-2534272,",p2par@p2par.itb.ac.id
Program Studi Magister Teknik Geofisika,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-geofisika-sxq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509168, +62-22-2534137","+62-22-2509168,",tutg@gf.itb.ac.id
Pusat Pertahanan dan Keamanan,https://www.itb.ac.id/directories/view/pusat-pertahanan-dan-keamanan-ttx,"Jalan Ganesha 10,","Bandung, 40132",",",",",dwdg89@gmail.com
Program Studi Magister Teknik Geologi,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-geologi-rry,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502197,","+62-22-2534139,",prodis2@gc.itb.ac.id
Pusat Perubahan Iklim,https://www.itb.ac.id/directories/view/pusat-perubahan-iklim-vt,"Jl. Ganesa No. 10,","Bandung, 40132","022-2517943,",",",suroso.djoko@gmail.com; dsuroso@pl.itb.ac.id
Program Studi Magister Teknik Kelautan,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-kelautan-yu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509117, +62-22-2511925","+62-22-2509117, +62-22-2511925",oeitb@ocean.itb.ac.id
Pusat Rekayasa Industri,https://www.itb.ac.id/directories/view/pusat-rekayasa-industri-tw,"Jl. Ganesa No. 10,","Bandung, 40132","022-2512971/72,","+62-22-2512972,",pri@pri.itb.ac.id; mcahyono@ftsl.itb.ac.id; pri@pri.itb.ac.id
Program Studi Magister Teknik Kimia,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-kimia-srr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500989,","+62-22-2501438,",cheitb@che.itb.ac.id
Pusat Rekayasa Katalis,https://www.itb.ac.id/directories/view/pusat-rekayasa-katalis-tvs,",",",",",",",",
Program Studi Magister Teknik Lingkungan,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-lingkungan-ys,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502647,","+62-22-2530704,",tu@tl.itb.ac.id
Pusat Rekayasa Katalisis,https://www.itb.ac.id/directories/view/pusat-rekayasa-katalisis-tvz,"Jl. Ganesha 10,","Bandung, 40132",",",",",subagjo@che.itb.ac.id
Program Studi Magister Teknik Material,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-material-rxq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508144,","+62-22-2508144,",info@ftmd.itb.ac.id
Pusat Studi Agraria,https://www.itb.ac.id/directories/view/pusat-studi-agraria-tuv,",",",",",",",",andri@gd.itb.ac.id
Program Studi Magister Teknik Mesin,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-mesin-rvw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504243,","+62-22-2534099,",info@ftmd.itb.ac.id
Pusat Studi Lingkungan Hidup,https://www.itb.ac.id/directories/view/pusat-studi-lingkungan-hidup-ur,"Jalan Sangkuriang No 42A,","Bandung, 40135","+62-22-2500606, +62-22-2504602","+62-22-2504602,",pslh_itb@yahoo.com; tjandra@che.itb.ac.id;
Program Studi Magister Teknik Metalurgi,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-metalurgi-tsv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2532239, +62-22-2508131","+62-22-2504209,",contact@metallurgy.itb.ac.id
Pusat Studi Sistem Tak Berawak,https://www.itb.ac.id/directories/view/pusat-studi-sistem-tak-berawak-vq,"Jalan Tamansari 126,","Bandung, 40132","+62-22-70985886,","+62-22-70985886,",muljo@bdg.centrin.net.id
Program Studi Magister Teknik Panas Bumi,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-panas-bumi-svw,"Jalan Tamansari no 64,","Bandung, 40132","+62-22-25121360,","+62-22-2512575,",sekretariat@geothermal.itb.ac.id
Pusat Teknologi Instrumentasi dan Otomasi,https://www.itb.ac.id/directories/view/pusat-teknologi-instrumentasi-dan-otomasi-uv,"Jalan Tamansari 126,","Bandung, 40132","+62-22-2514452,","+62-22-2534285,",services@instrument.itb.ac.id; esti@instrument.itb.ac.id;
Program Studi Magister Teknik Perminyakan,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-perminyakan-svv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2511155,","+62-22-2504955,",info@tm.itb.ac.id
Pusat Teknologi Kesehatan dan Keolahragaan,https://www.itb.ac.id/directories/view/pusat-teknologi-kesehatan-dan-keolahragaan-uz,"Jalan Gelap Nyawang No 2,","Bandung, 40132","+62-22-2534117,","+62-22-2534117,",hasballah@stei.itb.ac.id
Program Studi Magister Teknik Sipil,https://www.itb.ac.id/directories/view/program-studi-magister-teknik-sipil-yq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506445,","+62-22-2506445,",tu@si.itb.ac.id
Pusat Teknologi Pertahanan dan Keamanan,https://www.itb.ac.id/directories/view/pusat-teknologi-pertahanan-dan-keamanan-txq,"Jl. Ganesha No. 10 ,","Bandung,","+62-22-2512430,",",",dwidagdo@ae.itb.ac.id
Program Studi Magister Transportasi,https://www.itb.ac.id/directories/view/program-studi-magister-transportasi-sts,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502347,","+62-22-2500996,",kaproditr@sappk.itb.ac.id
Pusat Unggulan Iptek Broadband Wireless Access,https://www.itb.ac.id/directories/view/pusat-unggulan-iptek-broadband-wireless-access-ttq,",",",",",",",",
Program Studi Pendidikan Profesi/Spesialis Apoteker,https://www.itb.ac.id/directories/view/program-studi-pendidikan-profesispesialis-apoteker-szt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504258,","+62-22-2504258,",farmasi@fa.itb.ac.id
"Pusat Unggulan Iptek Carbon Capture Storage dan Carbon Capture, Utility and Storage",https://www.itb.ac.id/directories/view/pusat-unggulan-iptek-carbon-capture-storage-dan-carbon-capture-utility-and-storage-tuz,",",",",",",",",
Program Studi Sarjana Aeronotika dan Astronotika,https://www.itb.ac.id/directories/view/program-studi-sarjana-aeronotika-dan-astronotika-rxs,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504529,","+62-22-2534146,",info@ftmd.itb.ac.id
Pusat Unggulan Iptek Nanosains dan Nanoteknologi,https://www.itb.ac.id/directories/view/pusat-unggulan-iptek-nanosains-dan-nanoteknologi-ttt,",",",",",",",",
Program Studi Sarjana Arsitektur,https://www.itb.ac.id/directories/view/program-studi-sarjana-arsitektur-ssy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504962,","+62-22-2530705,",kadep@ar.itb.ac.id
Pusat Unggulan Iptek Teknologi Pertahanan dan Keamanan,https://www.itb.ac.id/directories/view/pusat-unggulan-iptek-teknologi-pertahanan-dan-keamanan-ttr,",",",",",",",",
Program Studi Sarjana Astronomi,https://www.itb.ac.id/directories/view/program-studi-sarjana-astronomi-rwu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2511576,","+62-22-2509170,",administration@as.itb.ac.id
Pusat Unggulan Iptek Teknologi Transportasi Berkelanjutan,https://www.itb.ac.id/directories/view/pusat-unggulan-iptek-teknologi-transportasi-berkelanjutan-tts,",",",",",",",",
Program Studi Sarjana Biologi,https://www.itb.ac.id/directories/view/program-studi-sarjana-biologi-zz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",indra@sith.itb.ac.id
Satuan Pengawas Internal,https://www.itb.ac.id/directories/view/satuan-pengawas-internal-v,"Jalan Cikapayang no 15,","Bandung, 40116","+62-22-2511438,","+62-22-2511438,",spi@pusat.itb.ac.id
Sekolah Bisnis dan Manajemen,https://www.itb.ac.id/directories/view/sekolah-bisnis-dan-manajemen-rtw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2531923 ,","+62-22-2504249,",deans.office@sbm-itb.ac.id
Satuan Penjaminan Mutu,https://www.itb.ac.id/directories/view/satuan-penjaminan-mutu-x,"Jalan Cikapayang 15,","Bandung, 40116","+62-22-4238545,","+62-22-2511438,",spm@itb.ac.id
Sekolah Farmasi,https://www.itb.ac.id/directories/view/sekolah-farmasi-syy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2514316,","+62-22-2504852,",farmasi@fa.itb.ac.id
SBM Kampus Bandung,https://www.itb.ac.id/directories/view/sbm-kampus-bandung-rty,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2531923,","+62-22-2504249,",info@sbm-itb.ac.id
Sekolah Ilmu dan Teknologi Hayati,https://www.itb.ac.id/directories/view/sekolah-ilmu-dan-teknologi-hayati-zy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2511575, +62-22-2511575","+62-22-2534107,",sith@itb.ac.id
SBM Kampus Jakarta,https://www.itb.ac.id/directories/view/sbm-kampus-jakarta-ruq,"Jl. HR Rasuna Said Kav. 1-2,","Jakarta, 12950","+62-21-5296868,","+62-21-5290095,",mba-jkt@sbm-itb.ac.id
Sekolah Pasca Sarjana,https://www.itb.ac.id/directories/view/sekolah-pasca-sarjana-rr,"Jalan Tamansari no 64,","Bandung, 40116","+62-22-2511495,","+62-22-2503659,",adum@sps.itb.ac.id
SBM Kampus Jatinangor,https://www.itb.ac.id/directories/view/sbm-kampus-jatinangor-rtz,"Jl. WinayaMukti no. 1, Jatinangor","Sumedang,","+62-22-7798600, +62-22-7798634",",",info-sbm.itb.ac.id
Sekolah Teknik Elektro dan Informatika,https://www.itb.ac.id/directories/view/sekolah-teknik-elektro-dan-informatika-sxz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502260,","+62-22-2534222,",sekretariat@stei.itb.ac.id
"Sekolah Arsitektur Perencanaan, dan Pengembangan Kebijakan",https://www.itb.ac.id/directories/view/sekolah-arsitektur-perencanaan-dan-pengembangan-kebijakan-ssx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504625,","+62-22-2500046,",dekan@sappk.itb.ac.id
Senat Akademik,https://www.itb.ac.id/directories/view/senat-akademik-t,"Jalan Dipati Ukur no 4,","Bandung, 40132","+62-22-2501539,","+62-22-2501539,",senat@senat.itb.ac.id
UPT Asrama,https://www.itb.ac.id/directories/view/upt-asrama-sq,"Jalan Ganesha 10,","Bandung, 40132","0896-6055-2121,",",",info@asrama.itb.ac.id
UPT Pengadaan,https://www.itb.ac.id/directories/view/upt-pengadaan-xt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2503084, +62-22-2509176","+62-22-2509160 ,",sekretariat@logistik.itb.ac.id sekretariat_pengadaan@itb.ac.id
UPT E-Learning,https://www.itb.ac.id/directories/view/upt-e-learning-sy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-86010140,",",",info@elearning.itb.ac.id
UPT Pengembangan Manusia dan Organisasi,https://www.itb.ac.id/directories/view/upt-pengembangan-manusia-dan-organisasi-xz,"Jalan Tamansari 73,","Bandung, 40132","+62-22-2532081 ,","+62-22-2532081 ,",office@pmo.itb.ac.id
"UPT Keamanan, Kesehatan, Keselamatan Kerja dan Lingkungan",https://www.itb.ac.id/directories/view/upt-keamanan-kesehatan-keselamatan-kerja-dan-lingkungan-xy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2510456, +62-22-2500204","+62-22-2510456,",admin@uptk3l.itb.ac.id
UPT Perpustakaan,https://www.itb.ac.id/directories/view/upt-perpustakaan-rz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500089,","+62-22-2500089,",info@lib.itb.ac.id
UPT Layanan Kesehatan,https://www.itb.ac.id/directories/view/upt-layanan-kesehatan-xw,"Jalan Gelap Nyawang No 2,","Bandung, 40132","+62-22-2500082,","+62-22-2500082,",yankes.bmg@pusat.itb.ac.id
UPT Pusat Bahasa,https://www.itb.ac.id/directories/view/upt-pusat-bahasa-rw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2505674 ,","+62-22-2505674 ,",pusatbahasa.itb@gmail.com
UPT Olahraga,https://www.itb.ac.id/directories/view/upt-olahraga-ry,"Jalan Tamansari no 73,","Bandung,","+62-22-2511540,","+62-22-2511540,",
UUP Penerbit,https://www.itb.ac.id/directories/view/uup-penerbit-s,"Jalan Ganesha 10,","Bandung,","+62-22-2504257,","+62-22-2534155,",itbpress@penerbit.itb.ac.id
